账期,地区,城市_乡村,是否上网捆绑,用户类型,接入码,帐目类型,用户数,"话单
张数",通话时长,费用
0803,杨家坪局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,374,906,110330,0
0803,杨家坪局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,23,0.2
0803,杨家坪局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,2,86,0.39
0803,杨家坪局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,3,6,910,0
0803,杨家坪局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,4,6,135,0
0803,杨家坪局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,145,779,343932,598
0803,杨家坪局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,80,345,188764,329.23
0803,杨家坪局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,12,0.2
0803,杨家坪局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,424,1611,237857,0
0803,杨家坪局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,24,0.29
0803,杨家坪局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,199,577,47386,124.07
0803,杨家坪局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,412,607,28251,127.3
0803,杨家坪局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,23,236,26632,72.37
0803,杨家坪局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,289,489,26332,106.58
0803,杨家坪局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,9,17,3392,6.08
0803,杨家坪局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,6,221,1.76
0803,杨家坪局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,4,6,135,3.43
0803,北部新区局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,384,747,50840,156.75
0803,北部新区局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,7,9,558,1.76
0803,北部新区局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,9,24,4932,9.11
0803,北部新区局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,32,124,10118,27.15
0803,北部新区局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,29,246,13333,49.1
0803,北部新区局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,43,75,10805,0
