账期,地区,城市_乡村,是否上网捆绑,用户类型,接入码,帐目类型,用户数,"话单
张数",通话时长,费用
0803,丰都电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,47,0.2
0803,丰都电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,14,52,7956,12.15
0803,丰都电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,2,2,324,0.49
0803,丰都电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,6,0
0803,丰都电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,5,10,805,2.06
0803,丰都电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,2,5,1947,3.14
0803,丰都电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,30,0.2
0803,丰都电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,18,21,661,3.14
0803,丰都电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,20,30,698,5.1
0803,丰都电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,31,152,10835,52.87
0803,南川电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,7,12,573,2.74
0803,南川电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,17,0.2
0803,南川电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,30,0.29
0803,南川电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,2,33,0.59
0803,南川电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,34,0.29
0803,南川电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,9,21,1230,0.29
0803,南川电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1,8,325,0
0803,南川电信公司,乡村,未捆绑,预付费小灵通,966118,966118电话QQ增值市话费,1,4,100,1.18
0803,南川电信公司,乡村,未捆绑,预付费小灵通,950901,950901灵通秘书增值市话费,3,4,227,0
0803,南川电信公司,乡村,未捆绑,预付费小灵通,118114,118114增值市话费,2,2,47,0
0803,南川电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,9,58,3840,4.12
0803,酉阳电信公司,城市,未捆绑,预付费小灵通,114,114增值市话费,32,58,2366,7.55
0803,酉阳电信公司,城市,未捆绑,预付费小灵通,168,168台增值市话费,3,5,531,0.49
0803,酉阳电信公司,城市,未捆绑,预付费小灵通,118318,118318电话QQ增值市话费,2,3,335,0
0803,酉阳电信公司,城市,未捆绑,预付费小灵通,96509,国利增值市话费,1,1,52,0
0803,酉阳电信公司,城市,未捆绑,预付费小灵通,950901,950901灵通秘书增值市话费,20,28,597,4.61
0803,酉阳电信公司,城市,未捆绑,预付费小灵通,118114,118114增值市话费,16,21,461,1.08
0803,酉阳电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,11,55,3750,11.76
0803,酉阳电信公司,乡村,未捆绑,预付费小灵通,114,114增值市话费,56,121,5865,5.68
0803,酉阳电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,24,0
0803,酉阳电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,11,34,12977,0
0803,酉阳电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,5,9,460,0.88
0803,酉阳电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,2,2,328,0
0803,酉阳电信公司,乡村,未捆绑,预付费小灵通,118318,118318电话QQ增值市话费,5,5,2525,0
0803,酉阳电信公司,乡村,未捆绑,预付费小灵通,966118,966118电话QQ增值市话费,3,158,47712,0
0803,酉阳电信公司,乡村,未捆绑,预付费小灵通,96509,国利增值市话费,3,3,56,0
0803,酉阳电信公司,乡村,未捆绑,预付费小灵通,950901,950901灵通秘书增值市话费,17,28,1076,0.69
0803,酉阳电信公司,乡村,未捆绑,预付费小灵通,968139,968139增值市话费,2,7,296,0
0803,酉阳电信公司,乡村,未捆绑,预付费小灵通,118114,118114增值市话费,54,97,1871,6.47
0803,酉阳电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,11,84,3396,0.1
0803,秀山电信公司,城市,未捆绑,预付费小灵通,114,114增值市话费,41,59,2171,16.95
0803,秀山电信公司,城市,未捆绑,预付费小灵通,12117,12117增值市话费,1,2,75,0.59
0803,秀山电信公司,城市,未捆绑,预付费小灵通,96121,96121台增值市话费,1,1,19,0.29
0803,秀山电信公司,城市,未捆绑,预付费小灵通,118100,118100增值市话费,2,3,473,0.29
0803,秀山电信公司,城市,未捆绑,预付费小灵通,168,168台增值市话费,2,2,129,0.49
0803,秀山电信公司,城市,未捆绑,预付费小灵通,118318,118318电话QQ增值市话费,2,2,32,0.59
0803,秀山电信公司,城市,未捆绑,预付费小灵通,96509,国利增值市话费,1,1,28,0.29
0803,秀山电信公司,城市,未捆绑,预付费小灵通,950901,950901灵通秘书增值市话费,67,102,3869,29.79
0803,秀山电信公司,城市,未捆绑,预付费小灵通,968139,968139增值市话费,1,1,4,0.29
0803,秀山电信公司,城市,未捆绑,预付费小灵通,118114,118114增值市话费,10,13,305,3.82
0803,秀山电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,19,94,6950,46.45
0803,秀山电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1,0,0,1.96
0803,秀山电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,61,107,4368,21.85
0803,秀山电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,12,25,4554,8.57
0803,秀山电信公司,乡村,未捆绑,预付费小灵通,168,168台增值市话费,3,4,179,0.78
0803,秀山电信公司,乡村,未捆绑,预付费小灵通,118318,118318电话QQ增值市话费,12,34,5420,12.99
0803,秀山电信公司,乡村,未捆绑,预付费小灵通,966118,966118电话QQ增值市话费,3,5,714,1.57
0803,秀山电信公司,乡村,未捆绑,预付费小灵通,950901,950901灵通秘书增值市话费,16,31,1370,8.04
0803,秀山电信公司,乡村,未捆绑,预付费小灵通,968139,968139增值市话费,7,12,882,2.74
0803,秀山电信公司,乡村,未捆绑,预付费小灵通,118114,118114增值市话费,17,24,399,4.02
0803,秀山电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,11,41,3541,19.31
0803,彭水电信公司,城市,未捆绑,预付费小灵通,114,114增值市话费,29,86,3501,5.39
0803,彭水电信公司,城市,未捆绑,预付费小灵通,118100,118100增值市话费,2,2,609,0.2
0803,彭水电信公司,城市,未捆绑,预付费小灵通,966118,966118电话QQ增值市话费,3,4,363,0.88
0803,彭水电信公司,城市,未捆绑,预付费小灵通,96509,国利增值市话费,1,1,40,0
0803,彭水电信公司,城市,未捆绑,预付费小灵通,950901,950901灵通秘书增值市话费,14,31,1541,4.8
0803,彭水电信公司,城市,未捆绑,预付费小灵通,968139,968139增值市话费,1,2,451,0
0803,彭水电信公司,城市,未捆绑,预付费小灵通,118114,118114增值市话费,5,12,234,1.08
0803,彭水电信,城市,未捆绑,预付费小灵通,12121,12121增值区间费,7,106,4364,0.29
0803,彭水电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,125,235,12622,9.02
0803,彭水电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,2,9,355,1.18
0803,彭水电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,8,32,10207,5.1
0803,彭水电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,5,57,2120,0.98
0803,彭水电信公司,乡村,未捆绑,预付费小灵通,118311,118311增值市话费,1,1,20,0.2
0803,彭水电信公司,乡村,未捆绑,预付费小灵通,118318,118318电话QQ增值市话费,8,37,11361,0.39
0803,彭水电信公司,乡村,未捆绑,预付费小灵通,966118,966118电话QQ增值市话费,13,116,93959,3.14
0803,彭水电信公司,乡村,未捆绑,预付费小灵通,96509,国利增值市话费,3,3,71,0
0803,彭水电信公司,乡村,未捆绑,预付费小灵通,950901,950901灵通秘书增值市话费,33,48,1684,2.35
0803,彭水电信公司,乡村,未捆绑,预付费小灵通,968139,968139增值市话费,2,11,2877,5
0803,彭水电信公司,乡村,未捆绑,预付费小灵通,118114,118114增值市话费,34,65,1522,6.86
0803,彭水电信,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,24,216,9935,11.56
0803,綦江电信公司,城市,未捆绑,预付费小灵通,114,114增值市话费,4,4,251,0.88
0803,綦江电信公司,城市,未捆绑,预付费小灵通,950901,950901灵通秘书增值市话费,1,1,5,0
0803,綦江电信公司,城市,未捆绑,预付费小灵通,118114,118114增值市话费,1,1,17,0.29
0803,綦江,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,3,92,0.88
0803,綦江电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,29,50,3662,3.53
0803,綦江电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,11,0
0803,綦江电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1,3,220,0.88
0803,綦江电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1,5,1330,0
0803,綦江电信公司,乡村,未捆绑,预付费小灵通,168,168台增值市话费,1,1,1,0.2
0803,綦江电信公司,乡村,未捆绑,预付费小灵通,950901,950901灵通秘书增值市话费,3,3,16,0.39
0803,綦江电信公司,乡村,未捆绑,预付费小灵通,118114,118114增值市话费,8,15,323,2.25
0803,綦江电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,4,14,637,1.57
0803,万盛电信公司,城市,未捆绑,预付费小灵通,114,114增值市话费,9,12,701,0.69
0803,万盛电信公司,城市,未捆绑,预付费小灵通,168,168台增值市话费,1,2,92,0.39
0803,万盛电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,2,2,22,0.49
0803,万盛电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,2,3,65,0
0803,万盛电信,城市,未捆绑,预付费小灵通,12121,12121增值区间费,3,3,111,0.88
0803,万盛电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1,0,0,0.49
0803,万盛电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,55,108,6634,3.04
0803,万盛电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,3,14,149,0.39
0803,万盛电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,3,4,72,0.2
0803,万盛电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,6,14,4110,1.67
0803,万盛电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,3,9,379,1.76
0803,万盛电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,3,6,372,0
0803,万盛电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,3,13,7060,0.2
0803,万盛电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,6,8,180,0.98
0803,万盛电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,6,8,159,0.39
0803,万盛电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,10,28,1175,1.57
0803,铜梁电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,10,12,491,2.74
0803,铜梁电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,2,119,0
0803,铜梁电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,21,0.2
0803,铜梁电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,6,10,211,2.35
0803,铜梁电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,2,22,3606,6.96
0803,铜梁,城市,未捆绑,预付费小灵通,12121,12121增值区间费,3,16,806,5.39
0803,铜梁电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,44,78,4379,14.6
0803,铜梁电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1,2,35,0.39
0803,铜梁电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,4,8,1369,2.65
0803,铜梁电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,3,10,539,1.96
0803,铜梁电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,4,0
0803,铜梁电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,71,0.2
0803,铜梁电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,11,14,604,2.84
0803,铜梁电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,5,7,117,1.37
0803,铜梁电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1,5,249,2.94
0803,铜梁电信,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,17,112,8956,40.67
0803,梁平电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,10,14,470,4.02
0803,梁平电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,2,4,318,1.18
0803,梁平电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,16,0.29
0803,梁平电信,城市,未捆绑,预付费小灵通,12121,12121增值区间费,7,47,1908,14.99
0803,梁平电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,9,14,773,2.65
0803,梁平电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,4,0
0803,梁平电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,46,0.29
0803,梁平电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,7,0
0803,梁平电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,7,93,3901,14.11
0803,武隆电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,21,34,1685,4.9
0803,武隆电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,3,3,800,0.2
0803,武隆电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,4,9,725,1.67
0803,武隆电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,13,0.2
0803,武隆电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,8,27,711,4.8
0803,武隆电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,3,3,34,0.49
0803,武隆,城市,未捆绑,预付费小灵通,12121,12121增值区间费,8,72,2968,22.54
0803,武隆电信公司,乡村,未捆绑,预付费小灵通,114,114增值市话费,50,79,3901,5.68
0803,武隆电信公司,乡村,未捆绑,预付费小灵通,118100,118100增值市话费,6,25,9658,1.57
0803,武隆电信公司,乡村,未捆绑,预付费小灵通,168,168台增值市话费,3,7,476,0.98
0803,武隆电信公司,乡村,未捆绑,预付费小灵通,118318,118318电话QQ增值市话费,2,4,1249,0
0803,武隆电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,1224,0
0803,武隆电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,6,0
0803,武隆电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,14,19,725,1.37
0803,武隆电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1,5,330,0
0803,武隆电信公司,乡村,未捆绑,预付费小灵通,118114,118114增值市话费,5,5,125,0.59
0803,武隆电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,10,57,1620,3.33
0803,垫江电信公司,城市,未捆绑,预付费小灵通,114,114增值市话费,30,42,2027,6.82
0803,垫江电信公司,城市,未捆绑,预付费小灵通,96121,96121台增值市话费,1,1,18,0.12
0803,垫江电信公司,城市,未捆绑,预付费小灵通,168,168台增值市话费,2,5,36,1.08
0803,垫江电信公司,城市,未捆绑,预付费小灵通,118318,118318电话QQ增值市话费,2,4,1358,0.69
0803,垫江电信公司,城市,未捆绑,预付费小灵通,96509,国利增值市话费,1,2,3,0.39
0803,垫江电信公司,城市,未捆绑,预付费小灵通,950901,950901灵通秘书增值市话费,24,31,809,6.54
0803,垫江电信公司,城市,未捆绑,预付费小灵通,118114,118114增值市话费,8,14,282,2.63
0803,垫江电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,13,100,8496,47.68
0803,垫江电信公司,乡村,未捆绑,预付费小灵通,,其他声讯费,2,0,0,0.98
